total_dutchpay_amount,participants_count,participants_data,label
15000,7,"[{'deposit_amount': 2100.0, 'user_pk': 1, 'time_after_payment': 0.23382932799426584, 'is_name_present': 0}, {'deposit_amount': 2100.0, 'user_pk': 2, 'time_after_payment': 0.5842398500346575, 'is_name_present': 1}, {'deposit_amount': 2100.0, 'user_pk': 3, 'time_after_payment': 0.647729564913721, 'is_name_present': 1}, {'deposit_amount': 2100.0, 'user_pk': 4, 'time_after_payment': 0.05098965659939961, 'is_name_present': 1}, {'deposit_amount': 2100.0, 'user_pk': 5, 'time_after_payment': 0.13475681084154234, 'is_name_present': 1}, {'deposit_amount': 2100.0, 'user_pk': 6, 'time_after_payment': 0.2588295288242324, 'is_name_present': 1}, {'deposit_amount': 2100.0, 'user_pk': 7, 'time_after_payment': 0.2872078912736732, 'is_name_present': 1}]",1
15970,5,"[{'deposit_amount': 3100.0, 'user_pk': 1, 'time_after_payment': 0.5117503892694549, 'is_name_present': 1}, {'deposit_amount': 3100.0, 'user_pk': 2, 'time_after_payment': 0.05092975183743481, 'is_name_present': 1}, {'deposit_amount': 3100.0, 'user_pk': 3, 'time_after_payment': 0.19841128116721238, 'is_name_present': 1}, {'deposit_amount': 3100.0, 'user_pk': 4, 'time_after_payment': 0.11912241269714108, 'is_name_present': 1}, {'deposit_amount': 3100.0, 'user_pk': 5, 'time_after_payment': 0.5122857278440799, 'is_name_present': 1}]",1
19443,2,"[{'deposit_amount': 9700.0, 'user_pk': 1, 'time_after_payment': 0.3940196287376989, 'is_name_present': 1}, {'deposit_amount': 9700.0, 'user_pk': 2, 'time_after_payment': 0.21175070271572466, 'is_name_present': 1}]",1
22222,10,"[{'deposit_amount': 2222.0, 'user_pk': 1, 'time_after_payment': 0.053686726478223756, 'is_name_present': 1}, {'deposit_amount': 2222.0, 'user_pk': 2, 'time_after_payment': 0.4864074409847023, 'is_name_present': 1}, {'deposit_amount': 3001.0, 'user_pk': 3, 'time_after_payment': 0.12066296022421279, 'is_name_present': 1}, {'deposit_amount': 2222.0, 'user_pk': 4, 'time_after_payment': 0.2198414076713702, 'is_name_present': 1}, {'deposit_amount': 2222.0, 'user_pk': 5, 'time_after_payment': 0.5529587560863213, 'is_name_present': 1}, {'deposit_amount': 2222.0, 'user_pk': 6, 'time_after_payment': 0.08108242740218134, 'is_name_present': 1}, {'deposit_amount': 2222.0, 'user_pk': 7, 'time_after_payment': 0.053312751468869234, 'is_name_present': 1}, {'deposit_amount': 2222.0, 'user_pk': 8, 'time_after_payment': 0.38255561638389063, 'is_name_present': 1}, {'deposit_amount': 2222.0, 'user_pk': 9, 'time_after_payment': 0.06683468009621543, 'is_name_present': 1}, {'deposit_amount': 1443.0, 'user_pk': 10, 'time_after_payment': 0.3937023857466023, 'is_name_present': 1}]",1
22500,6,"[{'deposit_amount': 3750.0, 'user_pk': 1, 'time_after_payment': 0.49381562387523176, 'is_name_present': 1}, {'deposit_amount': 3750.0, 'user_pk': 2, 'time_after_payment': 0.3513607182330945, 'is_name_present': 1}, {'deposit_amount': 3750.0, 'user_pk': 3, 'time_after_payment': 0.18339151420749275, 'is_name_present': 1}, {'deposit_amount': 3750.0, 'user_pk': 4, 'time_after_payment': 0.15573937755866132, 'is_name_present': 1}, {'deposit_amount': 3750.0, 'user_pk': 5, 'time_after_payment': 0.5668639673178438, 'is_name_present': 1}, {'deposit_amount': 3750.0, 'user_pk': 6, 'time_after_payment': 0.19650998487719926, 'is_name_present': 1}]",1
24100,8,"[{'deposit_amount': 3000.0, 'user_pk': 1, 'time_after_payment': 0.08679009534307572, 'is_name_present': 1}, {'deposit_amount': 3000.0, 'user_pk': 2, 'time_after_payment': 0.4998281062400325, 'is_name_present': 1}, {'deposit_amount': 3000.0, 'user_pk': 3, 'time_after_payment': 0.06424835093017973, 'is_name_present': 1}, {'deposit_amount': 3000.0, 'user_pk': 4, 'time_after_payment': 0.4213729552679319, 'is_name_present': 1}, {'deposit_amount': 3000.0, 'user_pk': 5, 'time_after_payment': 0.12394012914956666, 'is_name_present': 1}, {'deposit_amount': 3000.0, 'user_pk': 6, 'time_after_payment': 0.021983266899955178, 'is_name_present': 1}, {'deposit_amount': 3000.0, 'user_pk': 7, 'time_after_payment': 0.6244604560190535, 'is_name_present': 1}, {'deposit_amount': 3000.0, 'user_pk': 8, 'time_after_payment': 0.5522975458105736, 'is_name_present': 1}]",1
26000,5,"[{'deposit_amount': 5200.0, 'user_pk': 1, 'time_after_payment': 0.4399319847096136, 'is_name_present': 1}, {'deposit_amount': 5200.0, 'user_pk': 2, 'time_after_payment': 0.36593152080310565, 'is_name_present': 1}, {'deposit_amount': 5200.0, 'user_pk': 3, 'time_after_payment': 0.11381601609166021, 'is_name_present': 1}, {'deposit_amount': 5999.0, 'user_pk': 4, 'time_after_payment': 0.28518995873877157, 'is_name_present': 1}, {'deposit_amount': 4401.0, 'user_pk': 5, 'time_after_payment': 0.012934745207860253, 'is_name_present': 1}]",1
27000,8,"[{'deposit_amount': 3300.0, 'user_pk': 1, 'time_after_payment': 0.4151061375841242, 'is_name_present': 1}, {'deposit_amount': 3300.0, 'user_pk': 2, 'time_after_payment': 0.2545663383623767, 'is_name_present': 1}, {'deposit_amount': 3300.0, 'user_pk': 3, 'time_after_payment': 0.5222367465826177, 'is_name_present': 1}, {'deposit_amount': 3300.0, 'user_pk': 4, 'time_after_payment': 0.11800777182317448, 'is_name_present': 1}, {'deposit_amount': 3300.0, 'user_pk': 5, 'time_after_payment': 0.6184999664781585, 'is_name_present': 1}, {'deposit_amount': 3300.0, 'user_pk': 6, 'time_after_payment': 0.17211252631787277, 'is_name_present': 1}, {'deposit_amount': 3300.0, 'user_pk': 7, 'time_after_payment': 0.17844668536044025, 'is_name_present': 1}, {'deposit_amount': 3300.0, 'user_pk': 8, 'time_after_payment': 0.5081524379257263, 'is_name_present': 1}]",1
27800,10,"[{'deposit_amount': 2700.0, 'user_pk': 1, 'time_after_payment': 0.16313667625345707, 'is_name_present': 1}, {'deposit_amount': 2700.0, 'user_pk': 2, 'time_after_payment': 0.043052903477297344, 'is_name_present': 1}, {'deposit_amount': 2700.0, 'user_pk': 3, 'time_after_payment': 0.4867482364863176, 'is_name_present': 1}, {'deposit_amount': 2700.0, 'user_pk': 4, 'time_after_payment': 0.21069580189327342, 'is_name_present': 1}, {'deposit_amount': 2700.0, 'user_pk': 5, 'time_after_payment': 0.39082236616346416, 'is_name_present': 1}, {'deposit_amount': 2700.0, 'user_pk': 6, 'time_after_payment': 0.045083939498811836, 'is_name_present': 1}, {'deposit_amount': 2700.0, 'user_pk': 7, 'time_after_payment': 0.8010235329210981, 'is_name_present': 1}, {'deposit_amount': 2700.0, 'user_pk': 8, 'time_after_payment': 0.10128602229322972, 'is_name_present': 1}, {'deposit_amount': 2700.0, 'user_pk': 9, 'time_after_payment': 0.13713787845881323, 'is_name_present': 1}, {'deposit_amount': 2700.0, 'user_pk': 10, 'time_after_payment': 0.48355029787560017, 'is_name_present': 1}]",1
28000,9,"[{'deposit_amount': 4666.0, 'user_pk': 1, 'time_after_payment': 0.029853025531470977, 'is_name_present': 1}, {'deposit_amount': 4666.0, 'user_pk': 2, 'time_after_payment': 0.08016842798735026, 'is_name_present': 1}, {'deposit_amount': 4666.0, 'user_pk': 3, 'time_after_payment': 0.2856289133533092, 'is_name_present': 1}, {'deposit_amount': 4666.0, 'user_pk': 4, 'time_after_payment': 0.421169030473489, 'is_name_present': 1}, {'deposit_amount': 4666.0, 'user_pk': 5, 'time_after_payment': 0.0881940037735308, 'is_name_present': 1}, {'deposit_amount': 4666.0, 'user_pk': 6, 'time_after_payment': 0.4569370419883293, 'is_name_present': 1}, {'deposit_amount': 9333.0, 'user_pk': 1, 'time_after_payment': 0.46820876726663024, 'is_name_present': 1}, {'deposit_amount': 9333.0, 'user_pk': 2, 'time_after_payment': 0.5471215555978044, 'is_name_present': 1}, {'deposit_amount': 9333.0, 'user_pk': 3, 'time_after_payment': 0.643559519132726, 'is_name_present': 1}]",1
