total_dutchpay_amount,participants_count,participants_data,label
437723,11,"[{'user_dutch_chance': 0.5168119383900197, 'deposit_amount': 39793, 'time_after_payment': 1695, 'is_name_present': 1}, {'user_dutch_chance': 0.8351402686967155, 'deposit_amount': 39793, 'time_after_payment': 2957, 'is_name_present': 1}, {'user_dutch_chance': 0.6580894310755873, 'deposit_amount': 39793, 'time_after_payment': 1019, 'is_name_present': 1}, {'user_dutch_chance': 0.4080796462703336, 'deposit_amount': 39793, 'time_after_payment': 1726, 'is_name_present': 1}, {'user_dutch_chance': 0.7130934652833009, 'deposit_amount': 39793, 'time_after_payment': 391, 'is_name_present': 1}, {'user_dutch_chance': 0.8016592060188946, 'deposit_amount': 39793, 'time_after_payment': 331, 'is_name_present': 1}, {'user_dutch_chance': 0.45589037900996, 'deposit_amount': 39793, 'time_after_payment': 124, 'is_name_present': 1}, {'user_dutch_chance': 0.6062818398705128, 'deposit_amount': 39793, 'time_after_payment': 759, 'is_name_present': 1}, {'user_dutch_chance': 0.5977271617626276, 'deposit_amount': 39793, 'time_after_payment': 3082, 'is_name_present': 1}, {'user_dutch_chance': 0.6853367433018119, 'deposit_amount': 39793, 'time_after_payment': 2224, 'is_name_present': 1}, {'user_dutch_chance': 0.6254983454123734, 'deposit_amount': 39793, 'time_after_payment': 1175, 'is_name_present': 1}]",1
2067058,14,"[{'user_dutch_chance': 0.8429827401163889, 'deposit_amount': 147647, 'time_after_payment': 2293, 'is_name_present': 1}, {'user_dutch_chance': 0.7189383008943754, 'deposit_amount': 147647, 'time_after_payment': 388, 'is_name_present': 0}, {'user_dutch_chance': 0.6013158566912459, 'deposit_amount': 147647, 'time_after_payment': 29, 'is_name_present': 1}, {'user_dutch_chance': 0.6389609735396958, 'deposit_amount': 147647, 'time_after_payment': 398, 'is_name_present': 1}, {'user_dutch_chance': 0.6055232025845841, 'deposit_amount': 147647, 'time_after_payment': 2954, 'is_name_present': 1}, {'user_dutch_chance': 0.6669364176863567, 'deposit_amount': 147647, 'time_after_payment': 146, 'is_name_present': 1}, {'user_dutch_chance': 0.4853140393051454, 'deposit_amount': 147647, 'time_after_payment': 1494, 'is_name_present': 1}, {'user_dutch_chance': 0.714817873466659, 'deposit_amount': 147647, 'time_after_payment': 1137, 'is_name_present': 1}, {'user_dutch_chance': 0.5293189570107532, 'deposit_amount': 147647, 'time_after_payment': 3615, 'is_name_present': 1}, {'user_dutch_chance': 0.6081599095052155, 'deposit_amount': 147647, 'time_after_payment': 227, 'is_name_present': 0}, {'user_dutch_chance': 0.6944903755858436, 'deposit_amount': 147647, 'time_after_payment': 1034, 'is_name_present': 1}, {'user_dutch_chance': 0.834229734787721, 'deposit_amount': 147647, 'time_after_payment': 2686, 'is_name_present': 1}, {'user_dutch_chance': 0.9032795907403375, 'deposit_amount': 147647, 'time_after_payment': 701, 'is_name_present': 1}, {'user_dutch_chance': 0.778106967129109, 'deposit_amount': 147647, 'time_after_payment': 506, 'is_name_present': 1}]",1
116488,8,"[{'user_dutch_chance': 0.4024394024713541, 'deposit_amount': 14561, 'time_after_payment': 2437, 'is_name_present': 1}, {'user_dutch_chance': 0.6388438052453635, 'deposit_amount': 14561, 'time_after_payment': 1014, 'is_name_present': 1}, {'user_dutch_chance': 0.36401459390419016, 'deposit_amount': 14561, 'time_after_payment': 4416, 'is_name_present': 1}, {'user_dutch_chance': 0.6854427825108479, 'deposit_amount': 14561, 'time_after_payment': 2761, 'is_name_present': 1}, {'user_dutch_chance': 0.7235569544379364, 'deposit_amount': 14561, 'time_after_payment': 3414, 'is_name_present': 1}, {'user_dutch_chance': 0.6720142801718054, 'deposit_amount': 14561, 'time_after_payment': 697, 'is_name_present': 1}, {'user_dutch_chance': 0.7797403516908731, 'deposit_amount': 14561, 'time_after_payment': 612, 'is_name_present': 1}, {'user_dutch_chance': 0.3161025713242529, 'deposit_amount': 14561, 'time_after_payment': 754, 'is_name_present': 1}]",1
120900,3,"[{'user_dutch_chance': 0.47802348557137336, 'deposit_amount': 40300, 'time_after_payment': 959, 'is_name_present': 1}, {'user_dutch_chance': 0.5506611600724184, 'deposit_amount': 40300, 'time_after_payment': 4747, 'is_name_present': 1}, {'user_dutch_chance': 0.7570320631767234, 'deposit_amount': 40300, 'time_after_payment': 2419, 'is_name_present': 1}]",1
810000,6,"[{'user_dutch_chance': 0.5908309893471192, 'deposit_amount': 135000, 'time_after_payment': 2940, 'is_name_present': 1}, {'user_dutch_chance': 0.8198194323505001, 'deposit_amount': 135000, 'time_after_payment': 1350, 'is_name_present': 1}, {'user_dutch_chance': 0.7883563266154295, 'deposit_amount': 135000, 'time_after_payment': 291, 'is_name_present': 1}, {'user_dutch_chance': 0.729358709293341, 'deposit_amount': 135000, 'time_after_payment': 3687, 'is_name_present': 1}, {'user_dutch_chance': 0.5638800803475603, 'deposit_amount': 135000, 'time_after_payment': 100, 'is_name_present': 0}, {'user_dutch_chance': 0.5771190863090437, 'deposit_amount': 135000, 'time_after_payment': 3006, 'is_name_present': 1}]",1
520975,13,"[{'user_dutch_chance': 0.5006017238875641, 'deposit_amount': 40075, 'time_after_payment': 602, 'is_name_present': 1}, {'user_dutch_chance': 0.4272316844271517, 'deposit_amount': 40075, 'time_after_payment': 4611, 'is_name_present': 1}, {'user_dutch_chance': 0.8078405838337009, 'deposit_amount': 40075, 'time_after_payment': 1803, 'is_name_present': 1}, {'user_dutch_chance': 0.7001130786843581, 'deposit_amount': 40075, 'time_after_payment': 531, 'is_name_present': 1}, {'user_dutch_chance': 0.4553236775356834, 'deposit_amount': 40075, 'time_after_payment': 2164, 'is_name_present': 1}, {'user_dutch_chance': 0.49022954852175554, 'deposit_amount': 40075, 'time_after_payment': 1607, 'is_name_present': 1}, {'user_dutch_chance': 0.7172694157138881, 'deposit_amount': 40075, 'time_after_payment': 2781, 'is_name_present': 1}, {'user_dutch_chance': 0.3959464565023391, 'deposit_amount': 40075, 'time_after_payment': 2077, 'is_name_present': 1}, {'user_dutch_chance': 0.6932502014154247, 'deposit_amount': 40075, 'time_after_payment': 728, 'is_name_present': 1}, {'user_dutch_chance': 0.605793161609838, 'deposit_amount': 40075, 'time_after_payment': 1377, 'is_name_present': 1}, {'user_dutch_chance': 0.6474769283924792, 'deposit_amount': 40075, 'time_after_payment': 1958, 'is_name_present': 1}, {'user_dutch_chance': 0.4527340026261286, 'deposit_amount': 40075, 'time_after_payment': 828, 'is_name_present': 1}, {'user_dutch_chance': 0.6336056593727412, 'deposit_amount': 40075, 'time_after_payment': 879, 'is_name_present': 1}]",1
104500,11,"[{'user_dutch_chance': 0.6501060237787364, 'deposit_amount': 9500, 'time_after_payment': 153, 'is_name_present': 1}, {'user_dutch_chance': 0.5821424068835866, 'deposit_amount': 9500, 'time_after_payment': 1277, 'is_name_present': 1}, {'user_dutch_chance': 0.5195632064363666, 'deposit_amount': 9500, 'time_after_payment': 328, 'is_name_present': 1}, {'user_dutch_chance': 0.6571310053081896, 'deposit_amount': 9500, 'time_after_payment': 831, 'is_name_present': 1}, {'user_dutch_chance': 0.7086976600730217, 'deposit_amount': 9500, 'time_after_payment': 998, 'is_name_present': 1}, {'user_dutch_chance': 0.3964475569729436, 'deposit_amount': 9500, 'time_after_payment': 624, 'is_name_present': 1}, {'user_dutch_chance': 0.6846090326431854, 'deposit_amount': 9500, 'time_after_payment': 3280, 'is_name_present': 1}, {'user_dutch_chance': 0.35914514510658163, 'deposit_amount': 9500, 'time_after_payment': 1859, 'is_name_present': 1}, {'user_dutch_chance': 0.8316655170961075, 'deposit_amount': 9500, 'time_after_payment': 2573, 'is_name_present': 1}, {'user_dutch_chance': 0.5864265752591453, 'deposit_amount': 9500, 'time_after_payment': 1410, 'is_name_present': 1}, {'user_dutch_chance': 0.6317549051803948, 'deposit_amount': 9500, 'time_after_payment': 1573, 'is_name_present': 1}]",1
1139600,22,"[{'user_dutch_chance': 0.6633973670218807, 'deposit_amount': 51800, 'time_after_payment': 509, 'is_name_present': 1}, {'user_dutch_chance': 0.5936729862339282, 'deposit_amount': 51800, 'time_after_payment': 2798, 'is_name_present': 1}, {'user_dutch_chance': 0.632659231496849, 'deposit_amount': 51800, 'time_after_payment': 2058, 'is_name_present': 0}, {'user_dutch_chance': 0.6327281203001944, 'deposit_amount': 51800, 'time_after_payment': 634, 'is_name_present': 1}, {'user_dutch_chance': 0.5163453953553083, 'deposit_amount': 51800, 'time_after_payment': 1936, 'is_name_present': 1}, {'user_dutch_chance': 0.4914979709874969, 'deposit_amount': 51800, 'time_after_payment': 20, 'is_name_present': 1}, {'user_dutch_chance': 0.5939684215928592, 'deposit_amount': 51800, 'time_after_payment': 1061, 'is_name_present': 1}, {'user_dutch_chance': 0.8060833972052753, 'deposit_amount': 51800, 'time_after_payment': 1177, 'is_name_present': 1}, {'user_dutch_chance': 0.5633434654110272, 'deposit_amount': 51800, 'time_after_payment': 3849, 'is_name_present': 1}, {'user_dutch_chance': 0.6756449687893731, 'deposit_amount': 51800, 'time_after_payment': 4754, 'is_name_present': 1}, {'user_dutch_chance': 0.6408899480299579, 'deposit_amount': 51800, 'time_after_payment': 1543, 'is_name_present': 1}, {'user_dutch_chance': 0.6272071153075773, 'deposit_amount': 51800, 'time_after_payment': 814, 'is_name_present': 1}, {'user_dutch_chance': 0.5597873865058844, 'deposit_amount': 51800, 'time_after_payment': 755, 'is_name_present': 1}, {'user_dutch_chance': 0.6898383306985357, 'deposit_amount': 51800, 'time_after_payment': 381, 'is_name_present': 1}, {'user_dutch_chance': 0.47706036050805234, 'deposit_amount': 51800, 'time_after_payment': 4308, 'is_name_present': 1}, {'user_dutch_chance': 0.5347064108935766, 'deposit_amount': 51800, 'time_after_payment': 2471, 'is_name_present': 1}, {'user_dutch_chance': 0.5343559145433688, 'deposit_amount': 51800, 'time_after_payment': 1197, 'is_name_present': 1}, {'user_dutch_chance': 0.8518249603907164, 'deposit_amount': 51800, 'time_after_payment': 185, 'is_name_present': 1}, {'user_dutch_chance': 0.5958841145238839, 'deposit_amount': 51800, 'time_after_payment': 1078, 'is_name_present': 1}, {'user_dutch_chance': 0.6630067180086517, 'deposit_amount': 51800, 'time_after_payment': 144, 'is_name_present': 1}, {'user_dutch_chance': 0.20941613329941428, 'deposit_amount': 51800, 'time_after_payment': 861, 'is_name_present': 1}, {'user_dutch_chance': 0.362585753631253, 'deposit_amount': 51800, 'time_after_payment': 4245, 'is_name_present': 1}]",1
328000,10,"[{'user_dutch_chance': 0.5801162770251054, 'deposit_amount': 32800, 'time_after_payment': 2280, 'is_name_present': 1}, {'user_dutch_chance': 0.8337751948569917, 'deposit_amount': 32800, 'time_after_payment': 1993, 'is_name_present': 1}, {'user_dutch_chance': 0.557194682232875, 'deposit_amount': 32800, 'time_after_payment': 1818, 'is_name_present': 1}, {'user_dutch_chance': 0.5331526455106186, 'deposit_amount': 32800, 'time_after_payment': 3280, 'is_name_present': 1}, {'user_dutch_chance': 0.4826311233537167, 'deposit_amount': 32800, 'time_after_payment': 370, 'is_name_present': 1}, {'user_dutch_chance': 0.3448723582633417, 'deposit_amount': 32800, 'time_after_payment': 2522, 'is_name_present': 0}, {'user_dutch_chance': 0.6763873683164388, 'deposit_amount': 32800, 'time_after_payment': 629, 'is_name_present': 1}, {'user_dutch_chance': 0.38893001340170374, 'deposit_amount': 32800, 'time_after_payment': 1385, 'is_name_present': 1}, {'user_dutch_chance': 0.5692827161878985, 'deposit_amount': 32800, 'time_after_payment': 106, 'is_name_present': 1}, {'user_dutch_chance': 0.5126311615083732, 'deposit_amount': 32800, 'time_after_payment': 4543, 'is_name_present': 1}]",1
390000,10,"[{'user_dutch_chance': 0.7866553901986971, 'deposit_amount': 39000, 'time_after_payment': 3245, 'is_name_present': 1}, {'user_dutch_chance': 0.7737959834623352, 'deposit_amount': 39000, 'time_after_payment': 2105, 'is_name_present': 1}, {'user_dutch_chance': 0.5193361290594866, 'deposit_amount': 39000, 'time_after_payment': 2672, 'is_name_present': 0}, {'user_dutch_chance': 0.45747779668117683, 'deposit_amount': 39000, 'time_after_payment': 2040, 'is_name_present': 1}, {'user_dutch_chance': 0.538675848261473, 'deposit_amount': 39000, 'time_after_payment': 1091, 'is_name_present': 1}, {'user_dutch_chance': 0.4668473716061325, 'deposit_amount': 39000, 'time_after_payment': 2207, 'is_name_present': 1}, {'user_dutch_chance': 0.7857270905493403, 'deposit_amount': 39000, 'time_after_payment': 1594, 'is_name_present': 1}, {'user_dutch_chance': 0.5397711634866336, 'deposit_amount': 39000, 'time_after_payment': 74, 'is_name_present': 0}, {'user_dutch_chance': 0.7369762360069301, 'deposit_amount': 39000, 'time_after_payment': 163, 'is_name_present': 1}, {'user_dutch_chance': 0.6515918725944744, 'deposit_amount': 39000, 'time_after_payment': 2653, 'is_name_present': 1}]",1
131716,4,"[{'user_dutch_chance': 0.5228916518450653, 'deposit_amount': 32929, 'time_after_payment': 1305, 'is_name_present': 1}, {'user_dutch_chance': 0.7033728831588604, 'deposit_amount': 32929, 'time_after_payment': 77, 'is_name_present': 1}, {'user_dutch_chance': 0.7663146144967583, 'deposit_amount': 32929, 'time_after_payment': 609, 'is_name_present': 1}, {'user_dutch_chance': 0.6108568839549814, 'deposit_amount': 32929, 'time_after_payment': 817, 'is_name_present': 1}]",1
313600,7,"[{'user_dutch_chance': 0.6833073841368071, 'deposit_amount': 44800, 'time_after_payment': 1617, 'is_name_present': 1}, {'user_dutch_chance': 0.4211569901023445, 'deposit_amount': 44800, 'time_after_payment': 915, 'is_name_present': 1}, {'user_dutch_chance': 0.5636510408349262, 'deposit_amount': 44800, 'time_after_payment': 477, 'is_name_present': 1}, {'user_dutch_chance': 0.5890372875410402, 'deposit_amount': 44800, 'time_after_payment': 368, 'is_name_present': 1}, {'user_dutch_chance': 0.43692348534343645, 'deposit_amount': 44800, 'time_after_payment': 97, 'is_name_present': 1}, {'user_dutch_chance': 0.6245942640547799, 'deposit_amount': 44800, 'time_after_payment': 3957, 'is_name_present': 1}, {'user_dutch_chance': 0.6481151701720684, 'deposit_amount': 44800, 'time_after_payment': 1009, 'is_name_present': 1}]",1
190800,3,"[{'user_dutch_chance': 0.7048136699160023, 'deposit_amount': 63600, 'time_after_payment': 2823, 'is_name_present': 0}, {'user_dutch_chance': 0.7344545928718059, 'deposit_amount': 63600, 'time_after_payment': 3375, 'is_name_present': 1}, {'user_dutch_chance': 0.611370386803822, 'deposit_amount': 63600, 'time_after_payment': 2493, 'is_name_present': 1}]",1
405198,18,"[{'user_dutch_chance': 0.566231775053512, 'deposit_amount': 22511, 'time_after_payment': 857, 'is_name_present': 1}, {'user_dutch_chance': 0.6117183707305356, 'deposit_amount': 22511, 'time_after_payment': 3451, 'is_name_present': 1}, {'user_dutch_chance': 0.7049506488563233, 'deposit_amount': 22511, 'time_after_payment': 3632, 'is_name_present': 1}, {'user_dutch_chance': 0.6830132264168521, 'deposit_amount': 22511, 'time_after_payment': 2774, 'is_name_present': 1}, {'user_dutch_chance': 0.6749857819463332, 'deposit_amount': 22511, 'time_after_payment': 4393, 'is_name_present': 1}, {'user_dutch_chance': 0.7261975418331091, 'deposit_amount': 22511, 'time_after_payment': 4626, 'is_name_present': 1}, {'user_dutch_chance': 0.595798523755968, 'deposit_amount': 22511, 'time_after_payment': 90, 'is_name_present': 0}, {'user_dutch_chance': 0.6615852760213222, 'deposit_amount': 22511, 'time_after_payment': 30, 'is_name_present': 1}, {'user_dutch_chance': 0.8820421940960549, 'deposit_amount': 22511, 'time_after_payment': 854, 'is_name_present': 1}, {'user_dutch_chance': 0.509009776693759, 'deposit_amount': 22511, 'time_after_payment': 1889, 'is_name_present': 1}, {'user_dutch_chance': 0.6553445679365794, 'deposit_amount': 22511, 'time_after_payment': 6, 'is_name_present': 1}, {'user_dutch_chance': 0.7628626262250272, 'deposit_amount': 22511, 'time_after_payment': 1767, 'is_name_present': 1}, {'user_dutch_chance': 0.683552342766326, 'deposit_amount': 22511, 'time_after_payment': 682, 'is_name_present': 1}, {'user_dutch_chance': 0.6066462768114579, 'deposit_amount': 22511, 'time_after_payment': 38, 'is_name_present': 1}, {'user_dutch_chance': 0.4309207304281153, 'deposit_amount': 22511, 'time_after_payment': 3013, 'is_name_present': 1}, {'user_dutch_chance': 0.6618891824588508, 'deposit_amount': 22511, 'time_after_payment': 647, 'is_name_present': 1}, {'user_dutch_chance': 0.8239636759430491, 'deposit_amount': 22511, 'time_after_payment': 358, 'is_name_present': 1}, {'user_dutch_chance': 0.5525431183767562, 'deposit_amount': 22511, 'time_after_payment': 2996, 'is_name_present': 1}]",1
653310,7,"[{'user_dutch_chance': 0.5123202655122423, 'deposit_amount': 93330, 'time_after_payment': 92, 'is_name_present': 1}, {'user_dutch_chance': 0.7927553914368926, 'deposit_amount': 93330, 'time_after_payment': 223, 'is_name_present': 1}, {'user_dutch_chance': 0.5772380427276755, 'deposit_amount': 93330, 'time_after_payment': 101, 'is_name_present': 1}, {'user_dutch_chance': 0.7720415654626096, 'deposit_amount': 93330, 'time_after_payment': 541, 'is_name_present': 1}, {'user_dutch_chance': 0.6654250151442443, 'deposit_amount': 93330, 'time_after_payment': 1429, 'is_name_present': 1}, {'user_dutch_chance': 0.5385198722072957, 'deposit_amount': 93330, 'time_after_payment': 644, 'is_name_present': 1}, {'user_dutch_chance': 0.7444785524116536, 'deposit_amount': 93330, 'time_after_payment': 2616, 'is_name_present': 1}]",1
