total_dutchpay_amount,participants_count,participants_data,label
223200,6,"[{'user_dutch_chance': 0.7394661483384822, 'deposit_amount': 37500, 'time_after_payment': 621, 'is_name_present': 0}, {'user_dutch_chance': 0.4927991736324515, 'deposit_amount': 69500, 'time_after_payment': 84, 'is_name_present': 0}, {'user_dutch_chance': 0.673476334236133, 'deposit_amount': 86600, 'time_after_payment': 3109, 'is_name_present': 0}, {'user_dutch_chance': 0.5869242642081399, 'deposit_amount': 7200, 'time_after_payment': 134, 'is_name_present': 0}, {'user_dutch_chance': 0.6867841283680494, 'deposit_amount': 17500, 'time_after_payment': 493, 'is_name_present': 0}, {'user_dutch_chance': 0.7087424107908005, 'deposit_amount': 4900, 'time_after_payment': 407, 'is_name_present': 1}]",0
266000,19,"[{'user_dutch_chance': 0.27503675354217594, 'deposit_amount': 6076, 'time_after_payment': 133, 'is_name_present': 0}, {'user_dutch_chance': 0.5526911523813746, 'deposit_amount': 4245, 'time_after_payment': 4506, 'is_name_present': 1}, {'user_dutch_chance': 0.4888300327508689, 'deposit_amount': 14800, 'time_after_payment': 2418, 'is_name_present': 1}, {'user_dutch_chance': 0.5711395689795753, 'deposit_amount': 1600, 'time_after_payment': 365, 'is_name_present': 0}, {'user_dutch_chance': 0.6911732163482064, 'deposit_amount': 10300, 'time_after_payment': 128, 'is_name_present': 1}, {'user_dutch_chance': 0.5602927183291587, 'deposit_amount': 5700, 'time_after_payment': 1710, 'is_name_present': 1}, {'user_dutch_chance': 0.6324050099341546, 'deposit_amount': 36272, 'time_after_payment': 987, 'is_name_present': 1}, {'user_dutch_chance': 0.5464982828300112, 'deposit_amount': 11214, 'time_after_payment': 1278, 'is_name_present': 1}, {'user_dutch_chance': 0.6866237455548557, 'deposit_amount': 6982, 'time_after_payment': 3122, 'is_name_present': 1}, {'user_dutch_chance': 0.6106966004037268, 'deposit_amount': 13198, 'time_after_payment': 1252, 'is_name_present': 0}, {'user_dutch_chance': 0.4463281336692709, 'deposit_amount': 15728, 'time_after_payment': 1064, 'is_name_present': 1}, {'user_dutch_chance': 0.8457704021307223, 'deposit_amount': 16786, 'time_after_payment': 495, 'is_name_present': 0}, {'user_dutch_chance': 0.48499185574512127, 'deposit_amount': 14457, 'time_after_payment': 106, 'is_name_present': 1}, {'user_dutch_chance': 0.5373513133414111, 'deposit_amount': 23510, 'time_after_payment': 653, 'is_name_present': 1}, {'user_dutch_chance': 0.3971020372070966, 'deposit_amount': 24100, 'time_after_payment': 3140, 'is_name_present': 1}, {'user_dutch_chance': 0.3441010425580046, 'deposit_amount': 21658, 'time_after_payment': 64, 'is_name_present': 0}, {'user_dutch_chance': 0.6107233201008334, 'deposit_amount': 14266, 'time_after_payment': 2910, 'is_name_present': 0}, {'user_dutch_chance': 0.8101757738616887, 'deposit_amount': 18408, 'time_after_payment': 123, 'is_name_present': 0}, {'user_dutch_chance': 0.9467674452965051, 'deposit_amount': 6700, 'time_after_payment': 874, 'is_name_present': 0}]",0
102300,3,"[{'user_dutch_chance': 0.6958367660363224, 'deposit_amount': 6109, 'time_after_payment': 818, 'is_name_present': 0}, {'user_dutch_chance': 0.38597730156984705, 'deposit_amount': 52600, 'time_after_payment': 1306, 'is_name_present': 1}, {'user_dutch_chance': 0.7145403732009897, 'deposit_amount': 43591, 'time_after_payment': 1919, 'is_name_present': 1}]",0
62110,10,"[{'user_dutch_chance': 0.7175179635647598, 'deposit_amount': 5411, 'time_after_payment': 2647, 'is_name_present': 0}, {'user_dutch_chance': 0.6270842828531623, 'deposit_amount': 6211, 'time_after_payment': 1335, 'is_name_present': 1}, {'user_dutch_chance': 0.7284912249290445, 'deposit_amount': 6413, 'time_after_payment': 931, 'is_name_present': 1}, {'user_dutch_chance': 0.6540522693265456, 'deposit_amount': 9711, 'time_after_payment': 976, 'is_name_present': 0}, {'user_dutch_chance': 0.2794414159402151, 'deposit_amount': 1111, 'time_after_payment': 1510, 'is_name_present': 0}, {'user_dutch_chance': 0.7960317178466314, 'deposit_amount': 7711, 'time_after_payment': 734, 'is_name_present': 1}, {'user_dutch_chance': 0.5648566908837575, 'deposit_amount': 12609, 'time_after_payment': 1997, 'is_name_present': 1}, {'user_dutch_chance': 0.4941404577466251, 'deposit_amount': 6211, 'time_after_payment': 1466, 'is_name_present': 0}, {'user_dutch_chance': 0.5143786054058052, 'deposit_amount': 2011, 'time_after_payment': 3688, 'is_name_present': 1}, {'user_dutch_chance': 0.5951072793276106, 'deposit_amount': 4711, 'time_after_payment': 1600, 'is_name_present': 0}]",0
506400,12,"[{'user_dutch_chance': 0.7269274160398757, 'deposit_amount': 20800, 'time_after_payment': 382, 'is_name_present': 1}, {'user_dutch_chance': 0.6185405018483491, 'deposit_amount': 36809, 'time_after_payment': 3611, 'is_name_present': 1}, {'user_dutch_chance': 0.5728501835915224, 'deposit_amount': 13200, 'time_after_payment': 484, 'is_name_present': 1}, {'user_dutch_chance': 0.6679692582818938, 'deposit_amount': 34600, 'time_after_payment': 4640, 'is_name_present': 0}, {'user_dutch_chance': 0.7413436007789016, 'deposit_amount': 64906, 'time_after_payment': 6604, 'is_name_present': 1}, {'user_dutch_chance': 0.5991384528024452, 'deposit_amount': 19494, 'time_after_payment': 2976, 'is_name_present': 1}, {'user_dutch_chance': 0.7904183297237533, 'deposit_amount': 45600, 'time_after_payment': 1208, 'is_name_present': 1}, {'user_dutch_chance': 0.7720939289488199, 'deposit_amount': 68800, 'time_after_payment': 2615, 'is_name_present': 0}, {'user_dutch_chance': 0.5337008335768365, 'deposit_amount': 13600, 'time_after_payment': 467, 'is_name_present': 1}, {'user_dutch_chance': 0.7510846895655192, 'deposit_amount': 16782, 'time_after_payment': 1450, 'is_name_present': 1}, {'user_dutch_chance': 0.5210744654174146, 'deposit_amount': 101609, 'time_after_payment': 5509, 'is_name_present': 1}, {'user_dutch_chance': 0.8312091720005101, 'deposit_amount': 70200, 'time_after_payment': 233, 'is_name_present': 1}]",0
159000,6,"[{'user_dutch_chance': 0.8716795551357893, 'deposit_amount': 9583, 'time_after_payment': 1543, 'is_name_present': 1}, {'user_dutch_chance': 0.48223438215568026, 'deposit_amount': 25917, 'time_after_payment': 2411, 'is_name_present': 0}, {'user_dutch_chance': 0.6730406532794169, 'deposit_amount': 7500, 'time_after_payment': 404, 'is_name_present': 0}, {'user_dutch_chance': 0.7651367046001885, 'deposit_amount': 59400, 'time_after_payment': 793, 'is_name_present': 0}, {'user_dutch_chance': 0.6536785155074816, 'deposit_amount': 6100, 'time_after_payment': 1120, 'is_name_present': 1}, {'user_dutch_chance': 0.6084403389067268, 'deposit_amount': 50500, 'time_after_payment': 1786, 'is_name_present': 0}]",0
200200,11,"[{'user_dutch_chance': 0.8304559490827316, 'deposit_amount': 2500, 'time_after_payment': 231, 'is_name_present': 1}, {'user_dutch_chance': 0.6415569957261502, 'deposit_amount': 7464, 'time_after_payment': 2360, 'is_name_present': 0}, {'user_dutch_chance': 0.6986418971689535, 'deposit_amount': 18936, 'time_after_payment': 581, 'is_name_present': 0}, {'user_dutch_chance': 0.6455833762250941, 'deposit_amount': 33300, 'time_after_payment': 4211, 'is_name_present': 0}, {'user_dutch_chance': 0.682942706274959, 'deposit_amount': 21176, 'time_after_payment': 1153, 'is_name_present': 0}, {'user_dutch_chance': 0.5518568510399643, 'deposit_amount': 13524, 'time_after_payment': 2525, 'is_name_present': 1}, {'user_dutch_chance': 0.5795732394638244, 'deposit_amount': 46702, 'time_after_payment': 2, 'is_name_present': 0}, {'user_dutch_chance': 0.253185092765207, 'deposit_amount': 5900, 'time_after_payment': 3261, 'is_name_present': 0}, {'user_dutch_chance': 0.6674717582798606, 'deposit_amount': 40500, 'time_after_payment': 2377, 'is_name_present': 1}, {'user_dutch_chance': 0.6565496224875734, 'deposit_amount': 5198, 'time_after_payment': 577, 'is_name_present': 0}, {'user_dutch_chance': 0.587257345318755, 'deposit_amount': 5000, 'time_after_payment': 917, 'is_name_present': 1}]",0
433181,7,"[{'user_dutch_chance': 0.6283737652961501, 'deposit_amount': 66183, 'time_after_payment': 63, 'is_name_present': 1}, {'user_dutch_chance': 0.5882734386953555, 'deposit_amount': 101383, 'time_after_payment': 67, 'is_name_present': 0}, {'user_dutch_chance': 0.34457226495441057, 'deposit_amount': 60483, 'time_after_payment': 1127, 'is_name_present': 1}, {'user_dutch_chance': 0.6843452947997986, 'deposit_amount': 62083, 'time_after_payment': 485, 'is_name_present': 1}, {'user_dutch_chance': 0.6703305837082343, 'deposit_amount': 18083, 'time_after_payment': 1198, 'is_name_present': 1}, {'user_dutch_chance': 0.7033919486705961, 'deposit_amount': 109083, 'time_after_payment': 1806, 'is_name_present': 0}, {'user_dutch_chance': 0.48111543543195445, 'deposit_amount': 15883, 'time_after_payment': 533, 'is_name_present': 1}]",0
142089,3,"[{'user_dutch_chance': 0.6782444104588436, 'deposit_amount': 85563, 'time_after_payment': 1173, 'is_name_present': 1}, {'user_dutch_chance': 0.7681146159794859, 'deposit_amount': 38163, 'time_after_payment': 1673, 'is_name_present': 0}, {'user_dutch_chance': 0.4950464968389379, 'deposit_amount': 18363, 'time_after_payment': 41, 'is_name_present': 0}]",0
116676,21,"[{'user_dutch_chance': 0.6496608283010864, 'deposit_amount': 5556, 'time_after_payment': 1201, 'is_name_present': 1}, {'user_dutch_chance': 0.6180126206601653, 'deposit_amount': 21946, 'time_after_payment': 1505, 'is_name_present': 1}, {'user_dutch_chance': 0.521048660711109, 'deposit_amount': 1382, 'time_after_payment': 219, 'is_name_present': 1}, {'user_dutch_chance': 0.5692022247985717, 'deposit_amount': 2056, 'time_after_payment': 1870, 'is_name_present': 0}, {'user_dutch_chance': 0.7166780037913952, 'deposit_amount': 656, 'time_after_payment': 1917, 'is_name_present': 0}, {'user_dutch_chance': 0.6866443464352567, 'deposit_amount': 9956, 'time_after_payment': 116, 'is_name_present': 0}, {'user_dutch_chance': 0.6102040511144018, 'deposit_amount': 13056, 'time_after_payment': 1586, 'is_name_present': 1}, {'user_dutch_chance': 0.6249389435842605, 'deposit_amount': 7802, 'time_after_payment': 101, 'is_name_present': 0}, {'user_dutch_chance': 0.7979996803512703, 'deposit_amount': 15367, 'time_after_payment': 675, 'is_name_present': 1}, {'user_dutch_chance': 0.39618021258785097, 'deposit_amount': 856, 'time_after_payment': 464, 'is_name_present': 1}, {'user_dutch_chance': 0.4847024152205162, 'deposit_amount': 556, 'time_after_payment': 743, 'is_name_present': 0}, {'user_dutch_chance': 0.5882559493462427, 'deposit_amount': 3856, 'time_after_payment': 1820, 'is_name_present': 0}, {'user_dutch_chance': 0.6583568709861392, 'deposit_amount': 5756, 'time_after_payment': 4900, 'is_name_present': 0}, {'user_dutch_chance': 0.7550040943151046, 'deposit_amount': 7030, 'time_after_payment': 262, 'is_name_present': 0}, {'user_dutch_chance': 0.6109561690856993, 'deposit_amount': 5456, 'time_after_payment': 506, 'is_name_present': 0}, {'user_dutch_chance': 0.6693354764741392, 'deposit_amount': 556, 'time_after_payment': 1151, 'is_name_present': 1}, {'user_dutch_chance': 0.6246118778683122, 'deposit_amount': 2156, 'time_after_payment': 3288, 'is_name_present': 1}, {'user_dutch_chance': 0.5488192446096939, 'deposit_amount': 2656, 'time_after_payment': 167, 'is_name_present': 0}, {'user_dutch_chance': 0.6671683368104391, 'deposit_amount': 1256, 'time_after_payment': 773, 'is_name_present': 0}, {'user_dutch_chance': 0.7889351880550933, 'deposit_amount': 2320, 'time_after_payment': 294, 'is_name_present': 0}, {'user_dutch_chance': 0.6406257044320736, 'deposit_amount': 6445, 'time_after_payment': 471, 'is_name_present': 0}]",0
